language,genre,Sub_type,channel_name,channel_alias,urls_scraped,subs_scraped,total_time_s,total_time_h
en,,Manual,LoganPaul,LoganPaul,744,10,6265,1.740277778
en,,Manual,JamesCharles,JamesCharles,304,15,26010,7.225
en,,Manual,Nigahiga,Nigahiga,408,23,9591,2.664166667
en,,Auto,CollinsKey,CollinsKey,246,193,136335,37.87083333
en (auto),,Manual,CollinsKey,CollinsKey,246,19,9822,2.728333333
en (auto),,Auto,JamesCharles,JamesCharles,304,221,236375,65.65972222
en (auto),,Auto,Nigahiga,Nigahiga,408,336,253435,70.39861111
en (auto),,Auto,LoganPaul,LoganPaul,500,418,295379,82.04972222
en (auto),,Auto,PewDiePie,PewDiePie,500,463,689089,191.4136111
fr,Entertainment,Manual,Neoxi,Neoxi,206,0,0,0
fr,Entertainment,Manual,CurryClub,CurryClub,149,0,0,0
fr,Entertainment,Manual,Seb,Seb,120,0,0,0
fr,Comedy,Manual,HugoPOSAY,HugoPosay,387,1,1209,0.335833333
fr,Entertainment,Manual,IbraPlus,IbraPlus,150,1,255,0.070833333
fr,Comedy,Manual,LeRireJeune,,136,3,770,0.213888889
fr,Entertainment,Manual,CurryClub,CurryClub,29,3,448,0.124444444
fr,Entertainment,Manual,LeFatShow,LeFatShow,250,4,556,0.154444444
fr,Comedy,Manual,CYRILmp4,CyrilMP4,848,5,4119,1.144166667
fr,Comedy,Manual,NormanFaitDesVideos,Norman,182,5,1199,0.333055556
fr,Entertainment,Manual,IbraTV,IbraTV,102,8,2160,0.6
fr,Comedy,Manual,Natoo,,109,9,1784,0.495555556
fr,Entertainment,Manual,SQUEEZIE,SQUEEZIE,1353,11,5555,1.543055556
fr,,Manual,Joyca,Joyca,232,15,2936,0.815555556
fr,Entertainment,Manual,FabianOlicard,FabianOlicard,704,26,8120,2.255555556
fr,Comedy,Manual,Cyprien,Cyprien,175,31,15692,4.358888889
fr (auto),,Auto,Cyprien,Cyprien,175,130,54320,15.08888889
fr (auto),,Auto,NormanFaitDesVideos,Norman,182,147,48334,13.42611111
fr (auto),,Auto,LeFatShow,LeFatShow,250,186,231636,64.34333333
fr (auto),,Auto,Amixem,Amixem,500,373,333383,92.60638889
fr (auto),,Auto,SQUEEZIE,SQUEEZIE,500,444,283772,78.82555556
it,Entertainment,Manual,GiampyTek,GiampyTek,2225,0,0,0
it,Entertainment,Manual,Anima,Anima,1838,0,0,0
it,Entertainment,Manual,LaSabri,LaSabri,1000,0,0,0
it,Entertainment,Manual,DaniloCrespo,DaniloCrespo,611,0,0,0
it,Entertainment,Manual,AwedTM,AwedTM,366,0,0,0
it,Entertainment,Manual,AmedeoPreziosi,AmedeoPreziosi,0,0,0,0
it,,Manual,MeControte ,MeControte ,1304,1,327,0.090833333
it,Education,Manual,AlbertoItaliano,AlbertoItaliano,624,1,415,0.115277778
it,Entertainment,Manual,Sespo,Sespo,526,1,251,0.069722222
it,Entertainment,Manual,MattBise,MattBise,252,1,228,0.063333333
it,,Manual,Surry,Surry,4937,2,813,0.225833333
it,,Manual,TheShow,TheShow,1082,2,505,0.140277778
it,Entertainment,Manual,Gianmarco,Gianmarco,606,3,547,0.151944444
it,,Manual,iPantellas,iPantellas,412,3,868,0.241111111
it,,Manual,Willwoosh,Willwoosh,384,3,2164,0.601111111
it,Entertainment,Manual,Jakiedale,Jakiedale,5,5,1281,0.355833333
it,,Manual,Maryna,Maryna,246,7,1591,0.441944444
it,,Manual,Daniele,Daniele,578,9,2828,0.785555556
it,Entertainment,Manual,LucaLattanzio,LucaLattanzio,938,13,4625,1.284722222
it,,Manual,TheJakal,TheJakal,234,21,5580,1.55
it,,Manual,Scottecs.txt,Scottecs,224,30,4284,1.19
it (auto),,Auto,MattBise,MattBise,252,175,98355,27.32083333
it (auto),,Auto,iPantellas,iPantellas,412,259,100680,27.96666667
it (auto),,Auto,TheShow,TheShow,500,465,293163,81.43416667
it (auto),,Auto,MeControteAuto,MeControteAuto,500,476,304113,84.47583333
it (auto),,Auto,Surry,Surry,500,476,,0
ja,,Manual,êÖó≠ÇËÉ|ÉìÉh,MizutamariPond,990,135,57006,15.835
ja,,Manual,ìåäCÉIÉìÉGÉA,TokaiOnAir,1468,164,97588,27.10777778
ja,,Manual,SUSHI RAMEN Riku ,Riku,417,247,104302.8,28.973
ja,,Manual,HikakinTV,HikakinTV,1528,250,109806,30.50166667
ja,,Manual,Fischer's-ÉtÉBÉbÉVÉÉÅ[ÉY,Fischers,1523,676,272108,75.58555556
ja,,Manual,Yuka Kinoshitañÿâ∫Ç‰Ç§Ç©,YukaKinoshita,1516,813,329794,91.60944444
ja,,Manual,ÇÕÇ∂ÇﬂÇµÇ·ÇøÇÂÅ[,HajimeShachoo,1530,864,265724,73.81222222
ko,People,Manual,NCTDaily,NCTDaily,388,0,0,0
ko,People,Manual,PaiksCuisine,PaiksCuisine,200,0,0,0
ko,People,Manual,Baekhyun,Baekhyun,13,4,925,0.256944444
ko,People,Manual,Ddeongkaeddeong,Ddeongkaeddeong,2640,35,24471,6.7975
ko,People,Manual,G-NI,G-NI,322,88,64269,17.8525
ko,People,Manual,JaneASMR,JaneASMR,870,164,116379,32.3275
ko,People,Manual,SULGI,SULGI,271,169,139594,38.77611111
ko,People,Manual,HongyuASMR,HongyuASMR,288,189,116615,32.39305556
ko,People,Manual,EatWithBoki,EatWithBoki,216,190,136582,37.93944444
ru,,Manual,Ñ@ÑyÑt [VyacheslavOO], VyacheslavOO,1529,0,0,0
ru,Entertainment,Manual,TimOn,TimOn,759,0,0,0
ru,Entertainment,Manual,MyPack,MyPack,377,0,0,0
ru,People,Manual, Sasha Spilberg, SaySasha,339,0,0,0
ru,Entertainment,Manual,AnnyMay,AnnyMay,561,1,300,0.083333333
ru,Entertainment,Manual,Alex Boyko,AlexBoyko,622,5,2939,0.816388889
ru,Entertainment,Manual,BRBshow,BRBShow,154,5,230,0.063888889
ru,Entertainment,Manual,ÑRÑçÑuÑ~ÑtÑÖÑ{,Cyjenduk,230,21,4329,1.2025
ru,People,Manual, Maryana Ro, MRilakkuma,150,41,15057,4.1825
ru,,Manual,Ñ@ÑtÑrÑÄÑ{ÑpÑÑ ÑEÑsÑÄÑÇÑÄÑr, advocatttt,91,44,26343,7.3175
ru,People,Manual, AdamThomasMoran, AdamThomasMoran,528,59,30828,8.563333333
ru,,Manual, Wylsacom, Wylsacom,1527,107,66183,18.38416667
ru,,Manual,ÑNÑSÑB, ntvru,1528,137,383920,106.6444444
ru,Entertainment,Manual, TheBrianMaps, TheBrianMaps,396,163,64625,17.95138889
ru,Entertainment,Manual,This is ÑVÑÄÑÇÑÄÑäÑÄ, ThisIsHorosho,861,260,82227,22.84083333
tr,HowTo,Manual,Troom Troom TR,TroomTroom,1156,0,0,0
tr,Film,Manual,S_z Dizi,SozDizi,320,0,0,0
tr,HowTo,Manual,WooHoo TR,WooHoo,245,0,0,0
tr,Gaming,Manual,Sesegel _ocuk,Sesegel,335,1,793,0.220277778
tr,Entertainment,Manual,S_meyra _enet Videolar_,Sumeyra,76,7,5969,1.658055556
tr,People,Manual,Danla Bilic,DanlaBilic,166,37,45739,12.70527778
tr,Film,Manual,Sen _al Kap_m_,SenCalKapimi,267,52,39000,10.83333333
tr,Entertainment,Manual,Enes Batur,EnesBatur,420,77,81403,22.61194444
tr,Entertainment,Manual,Bizim Hikaye,BizimHikayeDizi,2548,79,,0
tr,Entertainment,Manual,Dila Kent,DilaKent,624,83,62000,17.22222222
tr,Film,Manual,Yasak Elma,YasakElma,270,109,34977,9.715833333
tr,People,Manual,Orkun I__tmak,OrkunIsitmak,360,110,64962,18.045
tr,People,Manual,Deli Mi Ne?,DeliMiNe,254,124,115689,32.13583333